ID,Full Name,Display Name
4278039,Nickeil Alexander-Walker,Nickeil Alexander-Walker
4432247,Jaylen Clark,Jaylen Clark
3195,Mike Conley,Mike Conley
4684275,Rob Dillingham,Rob Dillingham
3934673,Donte DiVincenzo,Donte DiVincenzo
4594268,Anthony Edwards,Anthony Edwards
4431816,Jesse Edwards,Jesse Edwards
4277951,Luka Garza,Luka Garza
3032976,Rudy Gobert,Rudy Gobert
4592492,Bones Hyland,Bones Hyland
2968436,Joe Ingles,Joe Ingles
4431671,Jaden McDaniels,Jaden McDaniels
5044385,Leonard Miller,Leonard Miller
4687718,Josh Minott,Josh Minott
4592965,Tristen Newton,Tristen Newton
3064514,Julius Randle,Julius Randle
4396971,Naz Reid,Naz Reid
4432847,Terrence Shannon Jr.,Terrence Shannon Jr.
