Trend,Over/Under Record,Over/Under %,MOV,Over/Under +/-
4+ Days Off,3-0-0,100.0%,0.0%,+12.2
As Home Underdog,7-3-0,70.0%,30.0%,+6.4
After A Win,19-10-0,65.5%,34.5%,+5.0
As Home Team,19-12-0,61.3%,38.7%,+3.4
With Equal Rest,23-15-0,60.5%,39.5%,+1.6
1 Day Off,22-15-0,59.5%,40.5%,+3.8
As Home Favorite,12-9-0,57.1%,42.9%,+2.0
Non-Conference Games,14-11-0,56.0%,44.0%,+2.1
Non-Division Games,29-24-0,54.7%,45.3%,+2.3
With Rest Advantage,7-6-0,53.8%,46.2%,+3.3
As Favorite,19-17-0,52.8%,47.2%,+1.4
All Games,34-31-0,52.3%,47.7%,+0.9
Regular Season Games,34-31-0,52.3%,47.7%,+0.9
As Underdog,15-14-0,51.7%,48.3%,+0.2
As Away Favorite,7-7-0,50.0%,50.0%,+1.3
Conference Games,20-20-0,50.0%,50.0%,+0.1
As Away Team,15-18-0,45.5%,54.5%,-1.2
As Away Underdog,8-11-0,42.1%,57.9%,-3.0
2-3 Days Off,5-7-0,41.7%,58.3%,-2.2
Division Games,5-7-0,41.7%,58.3%,-5.2
After A Loss,14-21-0,40.0%,60.0%,-2.6
No Rest,4-9-0,30.8%,69.2%,-7.3
With Rest Disadvantage,4-10-0,28.6%,71.4%,-3.4
At Neutral Site,0-1-0,0.0%,100.0%,-8.0
