Trend,Win Record,Win %,MOV,ATS +/-
With Rest Advantage,11-5-0,68.8%,10.1,+5.5
As Away Favorite,14-8-0,63.6%,4.8,-0.4
After A Win,23-14-0,62.2%,6.0,+2.2
Division Games,8-5-0,61.5%,7.5,+7.1
As Favorite,30-19-0,61.2%,4.7,-1.5
Conference Games,27-18-0,60.0%,4.5,+2.6
1 Day Off,25-17-0,59.5%,3.5,-0.5
As Home Favorite,16-11-0,59.3%,4.6,-2.4
No Rest,7-5-0,58.3%,5.5,+3.4
As Away Team,20-15-0,57.1%,3.0,+1.5
All Games,38-29-0,56.7%,3.8,+0.7
Regular Season Games,38-29-0,56.7%,3.8,+0.7
As Home Team,18-14-0,56.3%,4.8,-0.3
Non-Division Games,30-24-0,55.6%,2.9,-0.9
With Equal Rest,21-17-0,55.3%,2.0,-1.1
After A Loss,15-14-0,51.7%,1.4,-0.9
2-3 Days Off,5-5-0,50.0%,4.9,+3.4
Non-Conference Games,11-11-0,50.0%,2.5,-3.1
As Away Underdog,6-7-0,46.2%,-0.1,+4.8
With Rest Disadvantage,6-7-0,46.2%,1.5,-0.2
As Underdog,8-10-0,44.4%,1.4,+6.6
As Home Underdog,2-3-0,40.0%,5.4,+11.4
4+ Days Off,1-2-0,33.3%,-1.0,-2.8
